latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
50.65026,7.180851,77.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),wind_speed_100m (km/h)
2024-12-28T00:00,-0.4,86,0.00,18.1
2024-12-28T01:00,-0.2,87,0.00,21.3
2024-12-28T02:00,-0.2,86,0.00,23.7
2024-12-28T03:00,-0.1,85,0.00,24.1
2024-12-28T04:00,-0.0,84,0.00,23.6
2024-12-28T05:00,-0.0,84,0.00,23.7
2024-12-28T06:00,-0.1,84,0.00,23.5
2024-12-28T07:00,-0.2,86,0.00,23.2
2024-12-28T08:00,-0.1,87,0.00,23.2
2024-12-28T09:00,1.2,82,0.00,23.3
2024-12-28T10:00,2.9,78,0.00,22.9
2024-12-28T11:00,4.5,74,0.00,14.5
2024-12-28T12:00,5.7,70,0.00,12.1
2024-12-28T13:00,5.2,64,0.00,14.8
2024-12-28T14:00,4.7,65,0.00,17.3
2024-12-28T15:00,3.0,75,0.00,19.2
2024-12-28T16:00,1.4,85,0.00,21.8
2024-12-28T17:00,1.0,86,0.00,21.9
2024-12-28T18:00,0.6,87,0.00,21.0
2024-12-28T19:00,0.4,88,0.00,21.5
2024-12-28T20:00,0.1,89,0.00,18.0
2024-12-28T21:00,-0.3,90,0.00,15.6
2024-12-28T22:00,-0.4,92,0.00,13.7
2024-12-28T23:00,-0.5,94,0.00,9.7
2024-12-29T00:00,-0.8,95,0.00,4.6
2024-12-29T01:00,-0.7,94,0.00,8.0
2024-12-29T02:00,-1.2,95,0.00,9.0
2024-12-29T03:00,-1.4,95,0.00,6.6
2024-12-29T04:00,-1.3,96,0.00,6.6
2024-12-29T05:00,-1.3,96,0.00,7.6
2024-12-29T06:00,-0.8,97,0.00,5.3
2024-12-29T07:00,-0.4,96,0.00,5.1
2024-12-29T08:00,-0.1,93,0.00,4.7
2024-12-29T09:00,0.3,92,0.00,5.3
2024-12-29T10:00,0.5,89,0.00,5.4
2024-12-29T11:00,0.8,86,0.00,5.9
2024-12-29T12:00,1.1,83,0.00,7.6
2024-12-29T13:00,0.9,83,0.00,7.4
2024-12-29T14:00,1.1,84,0.00,6.6
2024-12-29T15:00,0.6,87,0.00,1.6
