latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.493847,-0.1630249,23.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),wind_speed_100m (km/h)
2024-12-28T00:00,6.4,97,0.00,4.1
2024-12-28T01:00,5.2,97,0.00,3.4
2024-12-28T02:00,5.3,97,0.00,4.5
2024-12-28T03:00,5.4,97,0.00,6.8
2024-12-28T04:00,5.4,97,0.00,5.6
2024-12-28T05:00,5.4,96,0.00,4.4
2024-12-28T06:00,5.4,96,0.00,4.2
2024-12-28T07:00,5.4,95,0.00,3.6
2024-12-28T08:00,5.2,96,0.00,3.8
2024-12-28T09:00,5.2,96,0.00,6.0
2024-12-28T10:00,5.3,96,0.00,6.3
2024-12-28T11:00,5.6,95,0.00,6.4
2024-12-28T12:00,5.8,94,0.00,6.9
2024-12-28T13:00,4.8,93,0.00,5.2
2024-12-28T14:00,5.0,93,0.00,5.6
2024-12-28T15:00,5.2,93,0.00,6.8
2024-12-28T16:00,5.4,94,0.00,8.7
2024-12-28T17:00,5.7,94,0.00,9.8
2024-12-28T18:00,5.9,94,0.00,10.5
2024-12-28T19:00,6.0,93,0.00,12.8
2024-12-28T20:00,5.4,88,0.00,14.5
2024-12-28T21:00,5.0,90,0.00,9.2
2024-12-28T22:00,5.0,91,0.00,8.7
2024-12-28T23:00,5.2,91,0.00,10.1
2024-12-29T00:00,5.2,92,0.00,11.2
2024-12-29T01:00,5.0,93,0.00,12.4
2024-12-29T02:00,5.0,94,0.00,12.8
2024-12-29T03:00,4.9,94,0.00,13.2
2024-12-29T04:00,4.8,94,0.00,14.1
2024-12-29T05:00,4.8,94,0.00,13.7
2024-12-29T06:00,4.8,94,0.00,12.8
2024-12-29T07:00,5.0,94,0.00,10.8
2024-12-29T08:00,5.2,93,0.00,12.4
2024-12-29T09:00,5.1,94,0.00,15.6
2024-12-29T10:00,5.6,92,0.00,16.0
2024-12-29T11:00,6.3,91,0.00,14.9
2024-12-29T12:00,6.7,91,0.00,13.4
2024-12-29T13:00,5.2,93,0.00,14.1
2024-12-29T14:00,5.8,91,0.00,16.7
2024-12-29T15:00,6.2,91,0.00,17.6
2024-12-29T16:00,6.4,91,0.00,20.3
2024-12-29T17:00,6.6,92,0.00,20.4
2024-12-29T18:00,6.7,93,0.00,20.0
2024-12-29T19:00,7.1,93,0.00,21.3
2024-12-29T20:00,7.2,94,0.00,21.7
2024-12-29T21:00,7.0,94,0.00,22.4
2024-12-29T22:00,6.7,95,0.00,22.7
2024-12-29T23:00,6.4,96,0.00,23.3
2024-12-30T00:00,6.6,97,0.00,23.6
2024-12-30T01:00,7.3,98,0.00,22.1
2024-12-30T02:00,7.2,97,0.00,21.3
2024-12-30T03:00,7.1,97,0.00,20.3
2024-12-30T04:00,6.9,97,0.00,19.7
2024-12-30T05:00,6.7,97,0.00,20.3
2024-12-30T06:00,6.6,96,0.00,22.0
2024-12-30T07:00,6.6,96,0.00,22.7
2024-12-30T08:00,7.2,94,0.00,26.2
2024-12-30T09:00,7.6,91,0.00,26.3
2024-12-30T10:00,8.1,87,0.00,26.1
2024-12-30T11:00,8.6,83,0.00,25.8
2024-12-30T12:00,8.7,80,0.00,24.0
2024-12-30T13:00,8.8,77,0.00,26.4
2024-12-30T14:00,8.9,76,0.00,21.9
2024-12-30T15:00,8.5,79,0.00,22.7
2024-12-30T16:00,7.6,85,0.00,24.6
2024-12-30T17:00,7.1,87,0.00,25.4
2024-12-30T18:00,6.7,88,0.00,24.3
2024-12-30T19:00,6.6,89,0.00,24.4
2024-12-30T20:00,6.6,90,0.00,25.3
2024-12-30T21:00,7.1,88,0.00,24.8
2024-12-30T22:00,7.5,87,0.00,25.2
2024-12-30T23:00,7.7,84,0.00,24.7
