
time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),wind_speed_100m (km/h)
2024-12-27T00:00,5.3,96,0.00,5.8
2024-12-27T01:00,4.1,97,0.00,4.3
2024-12-27T02:00,4.0,97,0.00,5.9
2024-12-27T03:00,4.0,97,0.00,5.6
2024-12-27T04:00,4.0,97,0.00,3.8
2024-12-27T05:00,4.0,98,0.00,4.7
2024-12-27T06:00,4.0,97,0.00,4.2
2024-12-27T07:00,4.0,96,0.00,7.7
2024-12-27T08:00,4.0,96,0.00,9.7
2024-12-27T09:00,4.2,95,0.00,6.7
2024-12-27T10:00,4.4,94,0.00,4.8
2024-12-27T11:00,4.6,93,0.00,5.0
2024-12-27T12:00,5.1,92,0.00,4.9
2024-12-27T13:00,2.9,92,0.00,3.6
2024-12-27T14:00,3.0,92,0.00,3.9
2024-12-27T15:00,2.9,94,0.00,2.0
2024-12-27T16:00,2.9,94,0.00,0.8
2024-12-27T17:00,2.6,95,0.00,1.9
2024-12-27T18:00,2.2,96,0.00,5.1
2024-12-27T19:00,2.1,96,0.00,6.9
2024-12-27T20:00,1.8,97,0.00,5.6
2024-12-27T21:00,1.4,98,0.00,7.9
2024-12-27T22:00,1.2,98,0.00,10.8
2024-12-27T23:00,0.5,98,0.00,9.0
2024-12-28T00:00,0.1,98,0.00,6.3
2024-12-28T01:00,-0.6,99,0.00,5.8
2024-12-28T02:00,-0.5,99,0.00,3.6
2024-12-28T03:00,-0.7,99,0.00,4.3
2024-12-28T04:00,-1.0,99,0.00,4.4
2024-12-28T05:00,-1.4,99,0.00,3.6
2024-12-28T06:00,-1.5,99,0.00,3.1
2024-12-28T07:00,-1.6,99,0.00,3.5
2024-12-28T08:00,-1.6,98,0.00,3.6
2024-12-28T09:00,-1.6,98,0.00,3.4
2024-12-28T10:00,-1.5,98,0.00,4.2
2024-12-28T11:00,-1.0,95,0.00,4.5
2024-12-28T12:00,-0.6,92,0.00,4.5
2024-12-28T13:00,-1.0,93,0.00,4.7
2024-12-28T14:00,-1.1,94,0.00,4.8
2024-12-28T15:00,-1.2,95,0.00,5.4
2024-12-28T16:00,-1.3,96,0.00,6.8
2024-12-28T17:00,-1.6,97,0.00,7.3
2024-12-28T18:00,-1.7,96,0.00,7.9
2024-12-28T19:00,-1.9,96,0.00,8.0
2024-12-28T20:00,-2.1,96,0.00,8.0
2024-12-28T21:00,-2.4,96,0.00,7.1
2024-12-28T22:00,-2.4,96,0.00,8.5
2024-12-28T23:00,-2.5,96,0.00,12.7
2024-12-29T00:00,-2.6,96,0.00,13.5
2024-12-29T01:00,-2.5,92,0.00,15.4
2024-12-29T02:00,-2.4,90,0.00,16.9
2024-12-29T03:00,-2.3,90,0.00,17.9
2024-12-29T04:00,-2.4,90,0.00,19.6
2024-12-29T05:00,-2.2,90,0.00,21.0
2024-12-29T06:00,-2.1,89,0.00,22.7
2024-12-29T07:00,-2.0,90,0.00,23.6
2024-12-29T08:00,-1.9,92,0.00,24.2
2024-12-29T09:00,-1.0,91,0.00,22.1
2024-12-29T10:00,-0.7,91,0.00,21.1
2024-12-29T11:00,-0.8,91,0.00,20.6
2024-12-29T12:00,-0.6,88,0.00,19.4
2024-12-29T13:00,-0.3,94,0.00,16.2
2024-12-29T14:00,0.0,95,0.00,17.0
2024-12-29T15:00,0.3,96,0.00,20.3
2024-12-29T16:00,0.6,95,0.00,22.4
2024-12-29T17:00,0.8,95,0.00,23.3
2024-12-29T18:00,1.0,95,0.00,23.8
2024-12-29T19:00,1.2,94,0.00,24.3
2024-12-29T20:00,1.4,94,0.00,25.1
2024-12-29T21:00,1.6,94,0.00,26.0
2024-12-29T22:00,1.7,94,0.00,27.1
2024-12-29T23:00,1.8,94,0.00,27.8
2024-12-30T00:00,1.8,93,0.00,28.1
2024-12-30T01:00,2.1,95,0.00,29.0
2024-12-30T02:00,2.2,94,0.00,29.7
2024-12-30T03:00,2.3,93,0.00,29.5
2024-12-30T04:00,2.3,93,0.00,29.6
2024-12-30T05:00,2.4,93,0.00,28.7
2024-12-30T06:00,2.5,93,0.00,28.8
2024-12-30T07:00,2.5,93,0.00,29.6
2024-12-30T08:00,2.6,93,0.00,29.9
2024-12-30T09:00,2.8,92,0.00,31.7
