latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
9.033392,7.4740486,480.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),wind_speed_100m (km/h)
2024-12-28T00:00,25.8,17,0.00,27.4
2024-12-28T01:00,24.2,19,0.00,25.8
2024-12-28T02:00,23.7,19,0.00,22.5
2024-12-28T03:00,23.1,20,0.00,19.4
2024-12-28T04:00,22.8,21,0.00,19.2
2024-12-28T05:00,22.8,21,0.00,19.4
2024-12-28T06:00,23.1,21,0.00,17.0
2024-12-28T07:00,25.1,20,0.00,14.8
2024-12-28T08:00,28.0,17,0.00,7.3
2024-12-28T09:00,29.5,16,0.00,7.9
2024-12-28T10:00,30.7,14,0.00,5.4
2024-12-28T11:00,32.3,13,0.00,4.0
2024-12-28T12:00,33.5,13,0.00,4.3
2024-12-28T13:00,34.4,12,0.00,5.7
2024-12-28T14:00,34.7,12,0.00,6.0
2024-12-28T15:00,34.5,12,0.00,7.7
2024-12-28T16:00,33.6,13,0.00,9.6
2024-12-28T17:00,31.9,15,0.00,9.7
2024-12-28T18:00,30.1,30,0.00,1.3
2024-12-28T19:00,28.8,19,0.00,9.5
2024-12-28T20:00,28.0,21,0.00,10.9
2024-12-28T21:00,28.0,21,0.00,18.4
2024-12-28T22:00,27.1,21,0.00,23.7
2024-12-28T23:00,25.9,21,0.00,26.4
2024-12-29T00:00,25.3,21,0.00,23.8
2024-12-29T01:00,24.6,22,0.00,25.3
2024-12-29T02:00,24.0,22,0.00,22.7
2024-12-29T03:00,23.4,23,0.00,19.7
2024-12-29T04:00,22.8,24,0.00,19.1
2024-12-29T05:00,22.6,24,0.00,17.9
2024-12-29T06:00,22.5,24,0.00,15.9
2024-12-29T07:00,24.6,22,0.00,14.7
2024-12-29T08:00,28.7,18,0.00,13.4
2024-12-29T09:00,30.7,15,0.00,11.0
2024-12-29T10:00,32.0,14,0.00,13.0
2024-12-29T11:00,33.1,13,0.00,11.3
2024-12-29T12:00,34.1,13,0.00,9.9
2024-12-29T13:00,35.4,13,0.00,11.4
2024-12-29T14:00,35.5,13,0.00,11.8
2024-12-29T15:00,35.3,13,0.00,11.4
2024-12-29T16:00,34.7,14,0.00,12.8
2024-12-29T17:00,33.1,16,0.00,18.1
2024-12-29T18:00,31.9,18,0.00,22.1
2024-12-29T19:00,31.1,18,0.00,19.6
2024-12-29T20:00,29.5,21,0.00,14.4
2024-12-29T21:00,28.8,22,0.00,14.4
2024-12-29T22:00,27.5,23,0.00,11.8
2024-12-29T23:00,26.5,25,0.00,13.6
2024-12-30T00:00,26.1,23,0.00,19.5
2024-12-30T01:00,25.0,25,0.00,20.2
2024-12-30T02:00,24.9,25,0.00,23.2
2024-12-30T03:00,24.9,24,0.00,25.1
2024-12-30T04:00,24.7,23,0.00,26.1
2024-12-30T05:00,24.4,23,0.00,26.3
2024-12-30T06:00,24.3,22,0.00,27.5
2024-12-30T07:00,26.0,20,0.00,25.1
2024-12-30T08:00,29.0,17,0.00,19.6
2024-12-30T09:00,31.3,15,0.00,16.3
2024-12-30T10:00,32.9,14,0.00,13.0
2024-12-30T11:00,34.4,13,0.00,14.3
2024-12-30T12:00,35.3,12,0.00,17.3
2024-12-30T13:00,35.6,12,0.00,14.2
